2026-04-15 00:01:08 | INFO     | app.main | SecondBrain starting up...
2026-04-15 00:01:10 | INFO     | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "<function writable_server_selector at 0x0000023A7A090040>", "operation": "createIndexes", "topologyDescription": "<TopologyDescription id: 69de87ee13f218f135e4459b, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-08vgkw9-shard-00-00.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-08vgkw9-shard-00-01.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-08vgkw9-shard-00-02.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69de87ee13f218f135e4459b"}, "remainingTimeMS": 4}
2026-04-15 00:01:15 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 00:01:15 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-15 00:01:15 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-15 00:01:15 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-15 00:01:15 | INFO     | app.workers.background_worker | Background worker started
2026-04-15 00:01:15 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-15 00:01:32 | INFO     | app.main | SecondBrain starting up...
2026-04-15 00:01:32 | INFO     | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "<function writable_server_selector at 0x0000019FF3310040>", "operation": "createIndexes", "topologyDescription": "<TopologyDescription id: 69de8804035aec56d6bba3d7, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-08vgkw9-shard-00-00.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-08vgkw9-shard-00-01.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-08vgkw9-shard-00-02.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69de8804035aec56d6bba3d7"}, "remainingTimeMS": 4}
2026-04-15 00:01:33 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 00:01:33 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-15 00:01:33 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-15 00:01:33 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-15 00:01:33 | INFO     | app.workers.background_worker | Background worker started
2026-04-15 00:01:35 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:01:35 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:01:35 | INFO     | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 69de87fc035aec56d6bba3d6, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-08vgkw9-shard-00-00.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-08vgkw9-shard-00-01.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-08vgkw9-shard-00-02.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69de87fc035aec56d6bba3d6"}, "remainingTimeMS": 29}
2026-04-15 00:01:35 | INFO     | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 69de87fc035aec56d6bba3d6, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-08vgkw9-shard-00-00.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-08vgkw9-shard-00-01.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-08vgkw9-shard-00-02.d7dlkdt.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69de87fc035aec56d6bba3d6"}, "remainingTimeMS": 29}
2026-04-15 00:01:37 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:01:39 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:01:39 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:01:43 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:01:43 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:01:45 | INFO     | SecondBrain | Recording audio for user chetan0e
2026-04-15 00:01:51 | INFO     | SecondBrain | Transcribing audio: C:\Users\Aris\Desktop\project\secondbrain\backend\recording_1776191480605.wav
2026-04-15 00:01:51 | INFO     | app.services.transcription | Loading Whisper model 'base' on cpu (int8)
2026-04-15 00:01:56 | INFO     | faster_whisper | Processing audio with duration 00:05.000
2026-04-15 00:01:57 | INFO     | faster_whisper | Detected language 'en' with probability 0.36
2026-04-15 00:01:57 | INFO     | app.services.transcription | Whisper found 1 segments. Language: en (0.36)
2026-04-15 00:01:57 | INFO     | app.services.transcription | Final transcribed text: 'You'
2026-04-15 00:01:57 | INFO     | SecondBrain | Transcribed: You...
2026-04-15 00:01:57 | INFO     | SecondBrain | Extracting memory from text: You...
2026-04-15 00:02:04 | INFO     | SecondBrain | Memory extracted - Intent: None, Summary: The text does not contain sufficient information to create a summary sentence.
2026-04-15 00:02:08 | INFO     | SecondBrain | Speaker: unknown, Intent: None, Importance: 0.30 (low)
2026-04-15 00:02:13 | INFO     | httpx | HTTP Request: POST http://127.0.0.1:11434/api/embeddings "HTTP/1.1 200 OK"
2026-04-15 00:02:13 | INFO     | httpx | HTTP Request: POST http://127.0.0.1:11434/api/embeddings "HTTP/1.1 200 OK"
2026-04-15 00:02:15 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:02:15 | INFO     | SecondBrain | Stored memory with importance 0.30
2026-04-15 00:02:15 | INFO     | SecondBrain | Cleaned up temp file: C:\Users\Aris\Desktop\project\secondbrain\backend\recording_1776191480605.wav
2026-04-15 00:02:17 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:02:19 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:02:21 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:02:21 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:02:25 | INFO     | SecondBrain | Getting timeline for user chetan0e, page 1, size 20
2026-04-15 00:02:25 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:02:25 | INFO     | SecondBrain | Recording audio for user chetan0e
2026-04-15 00:02:31 | INFO     | SecondBrain | Transcribing audio: C:\Users\Aris\Desktop\project\secondbrain\backend\recording_1776191548216.wav
2026-04-15 00:02:31 | INFO     | faster_whisper | Processing audio with duration 00:05.000
2026-04-15 00:02:32 | INFO     | faster_whisper | Detected language 'en' with probability 0.36
2026-04-15 00:02:33 | INFO     | app.services.transcription | Whisper found 1 segments. Language: en (0.36)
2026-04-15 00:02:33 | INFO     | app.services.transcription | Final transcribed text: 'You'
2026-04-15 00:02:33 | INFO     | SecondBrain | Transcribed: You...
2026-04-15 00:02:33 | INFO     | SecondBrain | Extracting memory from text: You...
2026-04-15 00:02:35 | INFO     | SecondBrain | Memory extracted - Intent: None, Summary: The text does not contain any significant information to summarize as it is just the word "you".
2026-04-15 00:02:39 | INFO     | SecondBrain | Speaker: unknown, Intent: None, Importance: 0.85 (critical)
2026-04-15 00:02:39 | INFO     | httpx | HTTP Request: POST http://127.0.0.1:11434/api/embeddings "HTTP/1.1 200 OK"
2026-04-15 00:02:39 | INFO     | httpx | HTTP Request: POST http://127.0.0.1:11434/api/embeddings "HTTP/1.1 200 OK"
2026-04-15 00:02:41 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:02:41 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:02:43 | INFO     | SecondBrain | Stored memory with importance 0.85
2026-04-15 00:02:43 | INFO     | SecondBrain | Cleaned up temp file: C:\Users\Aris\Desktop\project\secondbrain\backend\recording_1776191548216.wav
2026-04-15 00:02:43 | INFO     | SecondBrain | Getting timeline for user chetan0e, page 1, size 20
2026-04-15 00:02:44 | INFO     | SecondBrain | Recording audio for user chetan0e
2026-04-15 00:02:49 | INFO     | SecondBrain | Transcribing audio: C:\Users\Aris\Desktop\project\secondbrain\backend\recording_1776191566332.wav
2026-04-15 00:02:49 | INFO     | faster_whisper | Processing audio with duration 00:05.000
2026-04-15 00:02:50 | INFO     | faster_whisper | Detected language 'en' with probability 0.36
2026-04-15 00:02:51 | INFO     | app.services.transcription | Whisper found 1 segments. Language: en (0.36)
2026-04-15 00:02:51 | INFO     | app.services.transcription | Final transcribed text: 'You'
2026-04-15 00:02:51 | INFO     | SecondBrain | Transcribed: You...
2026-04-15 00:02:51 | INFO     | SecondBrain | Extracting memory from text: You...
2026-04-15 00:02:53 | INFO     | SecondBrain | Memory extracted - Intent: None, Summary: The text does not contain any meaningful content to be summarized as it only consists of the second person pronoun "you".
2026-04-15 00:02:57 | INFO     | SecondBrain | Speaker: unknown, Intent: None, Importance: 0.60 (high)
2026-04-15 00:02:57 | INFO     | httpx | HTTP Request: POST http://127.0.0.1:11434/api/embeddings "HTTP/1.1 200 OK"
2026-04-15 00:02:57 | INFO     | httpx | HTTP Request: POST http://127.0.0.1:11434/api/embeddings "HTTP/1.1 200 OK"
2026-04-15 00:02:59 | INFO     | SecondBrain | Extracting insights for user chetan0e
2026-04-15 00:02:59 | INFO     | SecondBrain | Stored memory with importance 0.60
2026-04-15 00:02:59 | INFO     | SecondBrain | Cleaned up temp file: C:\Users\Aris\Desktop\project\secondbrain\backend\recording_1776191566332.wav
2026-04-15 00:02:59 | INFO     | SecondBrain | Extracting insights for user chetan0e
